DMU,GProd,EC,TC,IME,SEC
AL,1.25028578525271,1.30263365656339,1.2380060858169,0.777389267688937,0.997299677003687
AR,1.58193039290837,1.34940416699312,1.40650139886727,0.910344153606239,0.915586851424366
AZ,1.09137495579134,0.972292126753283,1.49979754607066,0.898433053190916,0.833026571918167
CA,1.16475099100538,1,NaN,NaN,NaN
CO,1.04404724320948,1.01787981507882,1.46127184982658,0.707592996458818,0.991994136062543
CT,1.71696463904556,1.18802380473875,1.44694673631963,1.14956893517989,0.868857679912639
DE,1.5885515790664,1,2.70514849217213,0.569788354625286,1.03061543451617
FL,0.968468954689783,1,1.29802473389332,0.916070429303083,0.814467709899345
GA,1.61803562767348,1.41809893512268,1.2060170972717,0.857518552168293,1.10327698823373
IA,1.62866341198481,1,NaN,NaN,NaN
ID,1.47332409231537,1.28512562786209,1.29727007686812,0.958564132978309,0.921936758108936
IL,1.40652751398122,1.07170007830808,NaN,NaN,NaN
IN,1.88710989146066,1.16946560609415,1.83618085869189,1.01010453453858,0.870017444763522
KS,0.992770884517372,1.10580300841174,1.3285032372419,0.749145507090135,0.90207462928632
KY,1.15062582706278,1.08497796259879,1.05113955816636,1.07736580863526,0.936460862828598
LA,1.48958113701086,0.979714194334289,1.47492778794695,1.07972287508419,0.954732493067785
MA,1.68005343673732,1,1.58846692670534,1.47688109835244,0.716142398118914
MD,1.7412043670493,1.29386392242814,1.34389164923863,0.953322378156437,1.05040577641628
ME,1.50468265378495,0.994054130237162,1.44814038800569,1.09561727906084,0.954037270785121
MI,1.67559304567126,1.01118751910652,1.50576500959025,1.19595720918681,0.920161390710888
MN,1.49309818813151,0.982228405295279,NaN,NaN,NaN
MO,1.339841243783,1.05873413427898,1.259500531198,1.03771037110888,0.968259830438373
MS,1.388495672465,1.4035154783682,1.25660030056207,0.825290637121261,0.953944803656281
MT,1.06199812076404,1.40432230433896,1.10068680056649,0.997122516130144,0.689040378768606
NC,1.30250374028211,1,1.31434868464848,1.06447575713715,0.930963403789887
ND,1.06902872690766,1.41399443310897,1.63944783728945,0.830699732943648,0.555136780051286
NE,1.25028117965375,1.31027237218255,NaN,NaN,NaN
NH,1.85713418608619,1.42620794243824,1.20212627629943,1.13448805871513,0.954795612696503
NJ,1.15347419563553,1.05417730991466,1.28708079045934,1.04962058956142,0.809946008025161
NM,1.2711814024918,1.3225313321343,0.879486790918674,1.05585679694812,1.03506403753491
NV,1.17451606322144,0.858805391442386,1.54572412438371,0.871954518914204,1.01470168304001
NY,1.38153090306248,1.03009521684581,1.1346173010976,1.09729401106594,1.07723591157377
OH,1.72714400083814,1.00718962318394,1.57424645470461,1.1861474912848,0.918345045204897
OK,0.736197409502826,0.76915282824101,0.635287417547942,0.954776434097883,1.57800980957564
OR,1.75538089098828,1.37678511421145,1.20841163511819,1.26369412523075,0.83492668144898
PA,1.58832236408492,1.3101032776715,0.987529272337152,1.14159714589126,1.07540057808313
RI,1.93779964765668,1,2.30919778752386,1.00416424407656,0.835685730894194
SC,1.25843240381176,0.870130757095005,1.1630299571599,1.33680670087538,0.930220394961997
SD,1.15979127268396,0.975034224317568,1.92743574362987,0.820801861201618,0.751868231904689
TN,0.995039884640811,0.775859564064309,1.23941151075575,1.16122433087562,0.891098512838478
TX,1.0697082488688,1.23937310029915,NaN,NaN,NaN
UT,1.44353738071047,1.27685913916845,1.02099951697619,1.00465433613639,1.10215543233399
VA,1.26911044799813,0.907161939106556,1.09246566252545,1.24004086501203,1.03269198401312
VT,1.58766308953659,1.17406153365339,1.15309279802046,1.10984058500402,1.05667790673183
WA,1.41027356881708,1.08279456883396,1.45512403769488,1.13426322203208,0.789120693426261
WI,1.54703800591423,1.04117527640747,1.00568234718065,1.17492550750495,1.25749416013135
WV,1.29458017774056,0.977211485182333,0.825290727815319,1.56347852471608,1.02669513514935
WY,0.907145785181947,0.833723226886749,1.03145031229793,0.992897938124164,1.06243474672538
